idstatementnav,Fund_full_Name,Date,StatementOfNav,Investments,ListedSecurities,RegisteredEquities,IpoInvestment,GovernmentBonds,CorporateDebentures,OtherGovernmentSecurities,BankFixedDeposits,OtherInvestments,CurrentAssets,BankBalance,OtherCurrentAssets,CurrentLiabilities,NetAssetValueGross,FundManagementAndDepositoryFee1,FundSupervisorFee1,NetAssetValue,UnitsOutstanding,NavPerUnit,IncomeStatement,Income,RealisedIncome,UnrealisedIncome,Expenses,PreoperatingExpenses,NoticePublicationFee,AuditFee,FundManagementAndDepositaryFee2,FundSupervisorFee2,OtherExpenses,NetIncome,Ticker
258,Siddhartha Equity Fund,12/15/2017,0,207083.91,56232.14,851.77,0,0,0,0,150000,0,1298236.59,1264963.94,33272.65,4320.42,1501000.08,3420.71,163.03,1497416.35,150000,9.98,0,6876.44,2658.56,4217.88,9460.1,3430.58,33.24,12.54,3420.71,163.03,2400,-2583.65,SEF
260,Siddhartha Equity Fund,1/14/2018,0,281382.597,128242.892,3139.705,0,0,0,0,150000,0,1226745.718,1225930.367,815.351,6456.154,1501672.161,0,0,1501672.161,150000,10.0111,0,14326.14,17362.164,-3036.024,12653.976,3696.669,77.498,22.713,6205.503,201.593,2450,1672.164,SEF
281,Sanima Equity Fund,1/14/2018,0,331765.37,69768.84,1996.53,0,0,0,0,260000,0,973414.68,969990.3,3424.38,8505.03,1296675.02,1594.91,106.33,1294973.78,130000,9.96,0,3599.85,2868.88,730.97,8626.07,3250,1168.54,11.13,1594.91,106.33,2495.16,-5026.22,SAEF
273,Siddhartha Equity Fund,2/12/2018,0,324642.825,171309.224,3333.601,0,0,0,0,150000,0,1178663.817,1166596.09,12067.727,61.006,1503245.636,2687.308,115.573,1500442.755,150000,10.003,0,15922.481,17753.131,-1830.65,15479.724,3696.669,90.532,32.544,8892.812,317.167,2450,442.757,SEF
282,Sanima Equity Fund,2/12/2018,0,398084.33,134888.59,3195.75,0,0,0,0,260000,0,912999.11,902577.19,10421.92,13824.65,1297258.79,2318.88,260.92,1294678.99,130000,9.96,0,5810.27,5036.85,773.42,11131.29,4655.22,1181.86,27.28,3913.79,260.92,1092.23,-5321.02,SAEF
298,Citizens Mutual Fund-1,3/14/2018,0,530111.04,0,111.04,0,0,0,0,0,530000,292573.96,281203.23,11370.73,3754.31,818930.69,494.25,125,818311.44,82000,9.98,0,2663.99,1774.95,889.05,4309.63,0,1617.46,8.33,494.25,125,2064.58,-1645.64,CMF1
284,Siddhartha Equity Fund,3/14/2018,0,334582.288,180625.124,3957.164,0,0,0,0,150000,0,1177625.581,1156884.508,20741.073,11663.86,1500544.009,5457.104,234.028,1494852.877,150000,9.9657,0,13243.557,17753.645,-4510.088,18390.678,3696.669,103.066,42.714,11662.608,435.621,2450,-5147.121,SEF
291,Sanima Equity Fund,3/14/2018,0,427392.854,163778.546,3614.308,0,0,0,0,260000,0,863018.476,845145.191,17873.285,4002.167,1286409.163,2378.976,158.598,1283871.589,130000,9.8759,0,-2431.38,6431.084,-8862.464,13697.032,4655.215,1193.298,43.975,6292.767,419.518,1092.259,-16128.412,SAEF
305,NIC Asia Growth Fund,4/13/2018,0,136450.379,16197.794,252.585,0,0,0,0,120000,0,704570.444,703649.45,920.994,5141.77,835879.053,1700.385,75.573,834103.095,83520,9.99,0,6101.781,994.915,5106.866,7198.686,1000,488.209,28.373,1700.385,75.573,3906.146,-1096.905,NICGF
301,Sanima Equity Fund,4/13/2018,0,467319.334,187179.521,20139.813,0,0,0,0,260000,0,833689.233,820295.528,13393.705,7248.396,1293760.171,2392.57,159.505,1291208.096,130000,9.9324,0,7485.676,22437.215,-14951.539,16277.58,7610.29,1204.737,60.675,6755.262,579.022,67.594,-8791.904,SAEF
299,Citizens Mutual Fund-1,4/13/2018,0,817757.27,11230.34,263.05,0,0,0,0,806263.87,0,10976.17,9565.56,1410.61,1525.2,827208.24,1842.19,225,825141.05,82000,10.06,0,10913.16,10186.63,726.53,5772.11,1000,1623.42,16.55,1842.19,225,1064.94,5141.05,CMF1
